ITEM Ref,Description,Cost Date,Unit Cost,Marked as complete
AID9000,Arm Retainer - J Shaped,15/12/2022,30.00,Done
AID9001,"AID, positioning, gel beanbag, large",15/12/2022,1200.00,Done
AID9003,Azure Heel Protector (AZ401) - Infant / Adolescent / Adult - 190 x 175 x 30mm,15/12/2022,140.00,Done
AID9004,"AID, positioning, arm protectors",15/12/2022,115.00,Done
AID9005,"AID, positioning, Omnidirectional Tube Support",10/03/2023,200.00,Done
AID9007,Azure Head Protector (AZ100) - Infant / Adolescent / Adult - 260 x 250 x 50mm,15/12/2022,85.00,Done
AID9007a,Oasis Elite Open Head Ring (EL022) - Adult - 200 x 50mm,15/12/2022,70.00,Done
AID9008,"AID, positioning, closed head ring",15/12/2022,80.00,Done
ANA001,"ANAESTHETIC MACHINE/WORKSTATION electrically powered piston ventilator, mobile, 1350H 750W 650D",30/05/2022,40000.00,Done
ANA004,"ANAESTHETIC MACHINE/WORKSTATION with ventilator, with accessories and PC, mobile, 1580H 565W 695D",22/06/2022,30000.00,Done
ANA007,"ANAESTHETIC MACHINE/WORKSTATION, MRI compatible, supplied complete with trolley, shelf, ventilator with breathing circuit and 1 x vaporiser",30/05/2022,35000.00,Done
ANA9000,"ANALYSER, urine",30/05/2022,800.00,Done
ANA9009,"ANALYSER, Haemoglobin, 1500x700",15/12/2022,690.00,Done
ANA9019,"ANALYSER, blood gas with electrolytes, 450H 250W 290D",15/12/2022,28000.00,Done
BAG9000,"BAG, bean",15/12/2022,120.00,Done
BED015,"BED variable height, two-way tilt, adjustable backrest and knee-break, built-in bed extension with mattress retainer, electrically operated, on castors, 380-780H 2260/2430L 1010W",30/05/2022,5500.00,Done
BED040,"BED HEAD BUFFER/DOCKING device, bed and wall protection, horizontal, wall mounted, (internal clearance 1000-1400)",15/12/2022,0.00,Done
BED9127,BEDHEAD SERVICES UNIT - Vertical TRUNKING MOUNTED incorporating:,15/12/2022,0.00,Done
,1x Handset parking bracket,,,
,1x Handset parking clip,,,
BIN003,"BIN, disposal, general purpose, liner, mobile",15/12/2022,100.00,Done
BIN9000,"BIN, sanitary towel disposal",30/05/2022,100.00,Done
BIN9004,"BIN, small, 30 Ltr , approx 640H 340W 210D",15/12/2022,100.00,Done
BIN9005,"BIN, medium, 70 Ltr , approx 875H 430W 385D",15/12/2022,120.00,Done
BLI9002,"BLIND, laser type, to suit window",15/12/2022,800.00,Done
BOA006,"BOARD, marker, whiteboard, dry-wipe, with pen holder, wall mounted, 1200H1800W",30/05/2022,75.00,Done
BOA034,"BOARD, marker, whiteboard, dry-wipe, with pen holder, wall mounted, 600H 900W",30/05/2022,30.00,Done
BOA037,"BOARD, marker, whiteboard, dry-wipe, with pen holder, wall mounted, 900H 1200W",30/05/2022,35.00,Done
BOA9008,"BOARD, marker, whiteboard, dry-wipe, magnetic, with pen holder, patient information, wall mounted, 450H 600W",15/12/2022,25.00,Done
BOA9010,"BOARD, swabs/sharps count, fluid loss, 1200H 1800W",30/05/2022,200.00,Done
BRA9000,"BRACKET, sharps bin, wall mounted",30/05/2022,25.00,Done
BRA9006,"BRACKET, Pat slide, wall mounted",30/05/2022,30.00,Done
BRA9007,"BRACKET, wall mounted, for vital signs monitor",30/05/2022,250.00,Done
BRA9014,"BRACKET, for patient vital signs slave monitor, wall mounted",15/12/2022,140.00,Done
BUC003,"BUCKET, plaster, with stand, mobile, 900H 300 dia.",30/05/2022,155.00,Done
CAB030,"CABINET warming, blankets, stainless steel, 21 cuft",15/12/2022,3000.00,Done
CAB401,"CABINET, mobile, ENT examination workstation with suction headlight source and cautery",30/05/2022,35000.00,Done
CAB402,"CABINET, mobile, ENT workstation, with scope attachments and lights",30/05/2022,35000.00,Done
CAB9019,"CABINET, contrast media warming, approx 670H 425W 425D",15/06/2022,2100.00,Done
CAL002,"PUSH BUTTON patient/staff call, wall mounted",15/12/2022,0.00,Done
CAL005,CEILING PULL CORD patient/staff call,15/12/2022,0.00,Done
CAL007,"PULL/PUSH BUTTON, staff emergency call, reset and integral/adjacent indicator lamp",15/12/2022,0.00,Done
CAL012,"RESET UNIT, with repeat lamp, patient/staff call",15/12/2022,0.00,Done
CAL034,"LAMP, repeat call, patient/staff or staff emergency or cardiac call",15/12/2022,0.00,Done
CAL035,"LAMP repeat call (patient/staff or staff emergency or Cardiac call), ceiling mounted",15/12/2022,0.00,Done
