Room Name,Room Id
Majors bay,ED001
Minors bay,ED002
Resus Bay,ED003
Rapid access treatment (copy minors bay equipment),ED004
Triage,ED008
Calming and De-escalation room,ED009
Bier room: A&E,ED010
Body viewing room,ED011
Ophthalmic Exam /Treatment room,ED012
Plaster room: A&E,ED013
Majors bay: Paeds,ED015
Resus Bay: Paeds,ED016
Ultrasound,IMG009
X-ray,IMG011
MRI 3T,IMG016
MRI control room ,IMG017
MRI equipment room,IMG019
CT Scanner 128 slice,IMG020
CT Control room,IMG022
Single Bedroom,INP001
Isolation Room,INP002
4 Bed Bay,INP003
Ensuite,INP004
"Single Bedroom, Bariatric",INP005
"Ensuite, Bariatric",INP006
Isolation Lobby,INP007
Single room (Short Stay),INP008
Ensuite (Dual Assisted),INP009
Pantry (Ward),INP010
Touchdown Base,INP011
Single Bedroom Paediatric,INP012
Day Room,INP013
Anaesthetic Room,OT001
Scrub,OT002
Prep,OT003
Theatre Dirty Utility,OT005
Theatre (Day Case),OT007
Theatre (Generic),OT010
Theatre (Hybrid),OT015
Control Room for Hybrid,OT017
Sterile Store,OT023
Equipment Store,OT025
Pre-op bay,OT026
Medi-room,OT027
PACU Recovery bay,OT028
"2nd Stage Recovery Bay, 4 patient",OT029
Patient Bed wait,OT030
PACU Recovery bay twin,OT031
PACU Staff base,OT032
Consult / Examination Room (single sided couch access),OUT001
Consult / Examination Room (double sided couch access),OUT002
Treatment room: double-sided couch access ,OUT003
Physical measurement room,OUT004
Phlebotomy,OUT005
Treatment room: ENT,OUT017
Ophthalmic test room,OUT030
Clean Store (Inpatient),WHO001
Dirty Utility (Inpatient),WHO002
Clean store (Outpatient),WHO003
Medicine prep room,WHO004
Interview room,WHO005
Multi Functional Team Room (MFTR),WHO007
Cleaners room,WHO008
Staff Rest Inc Beverage bay  ,WHO024
Staff Shower ,WHO025
Waiting Area ,WHO026
WC,WHO027
Baby Care (Breast Feeding),WHO029
Dirty Utility (Outpatient),WHO035
